label,text,spam_categories,target_Bank Scam,target_Gambling Promotion,target_General Spam,target_Phishing,cleaned_text,nb_label
Ham,Your regular load is low on balance. Add Regular Load NOW to continue enjoying our promos and services.,[],0,0,0,0,regular load low balance add regular load continue enjoying promos service,Ham
Phishing,Facebook Warning: Your page will be disabled. Appeal now at bit.ly/secure-ph-425862,['Phishing'],0,0,0,1,facebook warning page disabled appeal urllink,Spam
Ham,"We hope our loan service was helpful! Please remember to pay your outstanding loan amount of null from last week. Just buy regular load to pay. You'll receive a confirmation message once payment is successful. If already paid, please disregard this message. Thank you. REF#: FGLR1",[],0,0,0,0,hope loan service helpful please remember pay outstanding loan amount null last week buy regular load pay youll receive confirmation message payment successful already paid please disregard message thank ref fglr,Ham
Ham,1/2 27-Feb 14:59: 09617107951 ay nagpasa ng 500MB sa iyong account. Ang iyong available Pasa Data MB ay 1500.00. Ref:290877694751,[],0,0,0,0,feb nagpasa mb iyong account iyong available pasa data mb ref,Ham
Ham,Wala po ako sa bahay ngayon,[],0,0,0,0,wala ako bahay ngayon,Ham
Ham,Sira na yung cable ko,[],0,0,0,0,sira cable,Ham
Ham,Did u got that persons story,[],0,0,0,0,u got person story,Ham
Gambling Promotion,1000% Luck bonus on ‚Ç±1000 balance. Register: play6.tw/tSv,['Gambling Promotion'],0,1,0,0,luck bonus ç balance register playtwtsv,Spam
"Bank Scam, Phishing",Ur Landbank accnt will be deleted. Update info at bit.ly/ph-69354,"['Bank Scam', 'Phishing']",1,0,0,1,ur landbank accnt deleted update info urllink,Spam
Phishing,SIM Registration: Your SIM is not yet registered. Avoid blockng: bit.ly/ph-23990,['Phishing'],0,0,0,1,sim registration sim yet registered avoid blockng urllink,Spam
"Gambling Promotion, Phishing",MCW: Daily 50 pesos free! Register na and start winning. Laro na d2: tinyurl.com/win-today-ph,"['Gambling Promotion', 'Phishing']",0,1,0,1,mcw daily peso free register start winning laro urllink,Spam
Ham,Congratulations! You have received a P50 GOMO Online Voucher. Go to your GCash VoucherPocket to redeem. Valid 30 days.,[],0,0,0,0,congratulation received p gomo online voucher go gcash voucherpocket redeem valid day,Ham
Ham,"Did you request to do BANK TRANSFER to BDO Unibank, Inc. account no. ending in 6177 with amount of PHP 1000.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 005639.",[],0,0,0,0,request bank transfer bdo unibank inc account ending amount php dont enter otp site send anyone scam requested otp,Ham
"Bank Scam, Phishing",GCASH-Alert: Unauthorized access from Quezon City. Click: bit.ly/gc-secure-acct,"['Bank Scam', 'Phishing']",1,0,0,1,gcashalert unauthorized access quezon city click urllink,Spam
Phishing,METRO-BANK: System upgrade. Please re-sync your mobile app: metro-app-upgrade.net,['Phishing'],0,0,0,1,metrobank system upgrade please resync mobile app metroappupgradenet,Spam
Ham,"Goodmorning Leivette, you have an appointment today @ 3:30pm. Clinic Protocol: Please wear Socks upon Using the Provided Slippers and kindly put them back on the Shelves. Thank you-CLINICA NUYAD ",[],0,0,0,0,goodmorning leivette appointment today pm clinic protocol please wear sock upon using provided slipper kindly put back shelf thank youclinica nuyad,Ham
Ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",[],0,0,0,0,well im gonna finish bath goodfine night,Ham
Phishing,WINNER! Chosen ur cell # for Toyota Vios Lazada Anniversary anniversary promo. Call now: 09556667778,['Phishing'],0,0,0,1,winner chosen ur cell toyota vios lazada anniversary anniversary promo call,Spam
Ham,14/02 19:23: P160.00 loaded to 09129094503 from 09478580716 for 1 year. Ref:9BE8N044X4. Use GigaLife App for the best promos & deals! smrt.ph/GigaLifeApp,[],0,0,0,0,p loaded year refbenx use gigalife app best promos deal smrtphgigalifeapp,Ham
Ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,[],0,0,0,0,still looking job much ta earn,Ham
Phishing,Easy money! Like and follow for Telegram Task and get 648 daily. Apply now: wa.me/639416341755,['Phishing'],0,0,0,1,easy money like follow telegram task get daily apply wame,Spam
Ham,"G to travel with barkada! Pay for as low as PHP 2,070 per month with GGives. Book with zero down payment, no credit card needed, & up to 12 months to pay.",[],0,0,0,0,g travel barkada pay low php per month ggives book zero payment credit card needed month pay,Ham
Ham,"#BDOStopScam: What you share can be used to scam you! DON'T post account-related concerns online, NEVER share your online banking username, password and OTP.",[],0,0,0,0,bdostopscam share used scam dont post accountrelated concern online never share online banking username password otp,Ham
